library_id,name,street,city,state,zip,latitude,longitude,full_address
2677636890,Preakness Public Library,1006 Hamburg Turnpike,Wayne,NJ,07470,40.960332,-74.234043,"1006 Hamburg Turnpike, Wayne, NJ, 07470"
3482497498,West Caldwell Public Library,30 Clinton Road,West Caldwell,NJ,,40.850737,-74.293510,"30 Clinton Road, West Caldwell, NJ"
10916497951,Little Free Library,Tamaques Park Roadway,Westfield,NJ,07090,40.628912,-74.340220,"Tamaques Park Roadway, Westfield, NJ, 07090"
11178758502,Sharing Library,613 South Chestnut Street,Westfield,NJ,07090,40.654816,-74.333729,"613 South Chestnut Street, Westfield, NJ, 07090"
12565910669,Ocean County Library,400 Lacey Road,Whiting,NJ,08759,39.956527,-74.388212,"400 Lacey Road, Whiting, NJ, 08759"
1242689476,Woodstown-Pilesgrove Library,14 School Lane,Woodstown,NJ,08098,39.651707,-75.321485,"14 School Lane, Woodstown, NJ, 08098"
3450529647,Central & Unser Library,8081 Central Avenue Northwest,Albuquerque,NM,87121,35.077353,-106.724947,"8081 Central Avenue Northwest, Albuquerque, NM, 87121"
2251134848,Fine Arts & Design Library,2401 Central Avenue Northeast,Albuquerque,NM,87106,35.081338,-106.619066,"2401 Central Avenue Northeast, Albuquerque, NM, 87106"
9912584956,International District Library,7601 Central Avenue Northeast,Albuquerque,NM,87108,35.075661,-106.562623,"7601 Central Avenue Northeast, Albuquerque, NM, 87108"
2149898420,South Broadway Library,1025 Broadway Boulevard Southeast,Albuquerque,NM,87102,35.073041,-106.645988,"1025 Broadway Boulevard Southeast, Albuquerque, NM, 87102"
1830317332,Taylor Ranch Library,5700 Bogart Street Northwest,Albuquerque,NM,87120,35.149096,-106.716754,"5700 Bogart Street Northwest, Albuquerque, NM, 87120"
366376305,Martha Liebert Library,124 Calle Malinche,Bernalillo,NM,87004,35.304606,-106.550859,"124 Calle Malinche, Bernalillo, NM, 87004"
6711388562,Carrizozo Library,406 Central Avenue,Carrizozo,NM,,33.643097,-105.876494,"406 Central Avenue, Carrizozo, NM"
366375796,Clovis-Carver Public Library,701 North Main Street,Clovis,NM,88101,34.405142,-103.204658,"701 North Main Street, Clovis, NM, 88101"
366375799,Cochiti Lake Community Library,6515A Hoochaneetsa Boulevard,Cochiti Lake,NM,87083,35.646279,-106.336221,"6515A Hoochaneetsa Boulevard, Cochiti Lake, NM, 87083"
366375784,Pueblo de Cochiti Community Library,245 Cochiti Street,Cochiti Pueblo,NM,87072,35.608296,-106.348417,"245 Cochiti Street, Cochiti Pueblo, NM, 87072"
13343341096,Corona Library,481 Main Street,Corona,NM,88318,34.248199,-105.595488,"481 Main Street, Corona, NM, 88318"
366375667,Deming Public Library;Deming Cooling Tower,110 South Diamond Avenue,Deming,NM,88030,32.268386,-107.755088,"110 South Diamond Avenue, Deming, NM, 88030"
366375966,Eagle Nest Public Library,74 North Tom Boy Drive,Eagle Nest,NM,87718,36.554948,-105.262699,"74 North Tom Boy Drive, Eagle Nest, NM, 87718"
366376078,El Rito Public Library,182 New Mexico State Highway 215,El Rito,NM,87530,36.326907,-106.165602,"182 New Mexico State Highway 215, El Rito, NM, 87530"
366374605,Española Public Library Richard Lucero Center,313 North Paseo de Oñate,Espanola,NM,87532,35.994741,-106.082096,"313 North Paseo de Oñate, Espanola, NM, 87532"
